2026-02-19 00:51:40 - INFO - DURUM DEÐÝÞTÝ: IDLE -> BUSY | CPU: %18.2 | Pil: %79
2026-02-19 00:51:40 - INFO - DURUM DEÐÝÞTÝ: BUSY -> IDLE | CPU: %0.0 | Pil: %79
2026-02-19 00:51:40 - INFO - DURUM DEÐÝÞTÝ: IDLE -> BUSY | CPU: %8.3 | Pil: %79
2026-02-19 00:51:40 - INFO - DURUM DEÐÝÞTÝ: BUSY -> IDLE | CPU: %0.0 | Pil: %79
2026-02-19 00:51:40 - INFO - DURUM DEÐÝÞTÝ: IDLE -> BUSY | CPU: %3.4 | Pil: %79
2026-02-19 00:51:40 - INFO - DURUM DEÐÝÞTÝ: BUSY -> IDLE | CPU: %0.0 | Pil: %79
2026-02-19 00:51:40 - INFO - DURUM DEÐÝÞTÝ: IDLE -> BUSY | CPU: %5.3 | Pil: %79
2026-02-19 00:51:41 - INFO - DURUM DEÐÝÞTÝ: BUSY -> IDLE | CPU: %0.0 | Pil: %79
2026-02-19 00:51:41 - INFO - DURUM DEÐÝÞTÝ: IDLE -> BUSY | CPU: %3.8 | Pil: %79
2026-02-19 00:51:41 - INFO - DURUM DEÐÝÞTÝ: BUSY -> IDLE | CPU: %0.0 | Pil: %79
2026-02-19 00:51:41 - INFO - DURUM DEÐÝÞTÝ: IDLE -> BUSY | CPU: %4.0 | Pil: %79
2026-02-19 00:51:41 - INFO - DURUM DEÐÝÞTÝ: BUSY -> IDLE | CPU: %0.0 | Pil: %79
2026-02-19 00:51:41 - INFO - DURUM DEÐÝÞTÝ: IDLE -> BUSY | CPU: %12.5 | Pil: %79
2026-02-19 00:51:41 - INFO - DURUM DEÐÝÞTÝ: BUSY -> IDLE | CPU: %0.0 | Pil: %79
2026-02-19 00:51:41 - INFO - DURUM DEÐÝÞTÝ: IDLE -> BUSY | CPU: %13.3 | Pil: %79
2026-02-19 00:51:41 - INFO - DURUM DEÐÝÞTÝ: BUSY -> IDLE | CPU: %0.0 | Pil: %79
2026-02-19 00:51:41 - INFO - DURUM DEÐÝÞTÝ: IDLE -> BUSY | CPU: %6.7 | Pil: %79
2026-02-19 00:51:41 - INFO - DURUM DEÐÝÞTÝ: BUSY -> IDLE | CPU: %0.0 | Pil: %79
2026-02-19 00:51:41 - INFO - DURUM DEÐÝÞTÝ: IDLE -> BUSY | CPU: %18.5 | Pil: %79
2026-02-19 00:51:41 - INFO - DURUM DEÐÝÞTÝ: BUSY -> IDLE | CPU: %0.0 | Pil: %79
2026-02-19 00:51:41 - INFO - DURUM DEÐÝÞTÝ: IDLE -> BUSY | CPU: %20.0 | Pil: %79
2026-02-19 00:51:42 - INFO - DURUM DEÐÝÞTÝ: BUSY -> IDLE | CPU: %0.0 | Pil: %79
2026-02-19 00:51:42 - INFO - DURUM DEÐÝÞTÝ: IDLE -> BUSY | CPU: %6.7 | Pil: %79
2026-02-19 00:51:42 - INFO - DURUM DEÐÝÞTÝ: BUSY -> IDLE | CPU: %0.0 | Pil: %79
2026-02-19 00:51:42 - INFO - DURUM DEÐÝÞTÝ: IDLE -> BUSY | CPU: %17.4 | Pil: %79
2026-02-19 00:51:42 - INFO - DURUM DEÐÝÞTÝ: BUSY -> IDLE | CPU: %0.0 | Pil: %79
2026-02-19 00:51:42 - INFO - DURUM DEÐÝÞTÝ: IDLE -> BUSY | CPU: %8.7 | Pil: %79
2026-02-19 00:51:42 - INFO - DURUM DEÐÝÞTÝ: BUSY -> IDLE | CPU: %0.0 | Pil: %79
2026-02-19 00:51:42 - INFO - DURUM DEÐÝÞTÝ: IDLE -> BUSY | CPU: %6.7 | Pil: %79
2026-02-19 00:51:42 - INFO - DURUM DEÐÝÞTÝ: BUSY -> IDLE | CPU: %0.0 | Pil: %79
2026-02-19 00:51:42 - INFO - DURUM DEÐÝÞTÝ: IDLE -> BUSY | CPU: %35.0 | Pil: %79
2026-02-19 00:51:42 - INFO - DURUM DEÐÝÞTÝ: BUSY -> IDLE | CPU: %0.0 | Pil: %79
2026-02-19 00:51:42 - INFO - DURUM DEÐÝÞTÝ: IDLE -> BUSY | CPU: %6.2 | Pil: %79
2026-02-19 00:51:42 - INFO - DURUM DEÐÝÞTÝ: BUSY -> IDLE | CPU: %0.0 | Pil: %79
2026-02-19 00:51:42 - INFO - DURUM DEÐÝÞTÝ: IDLE -> BUSY | CPU: %6.7 | Pil: %79
2026-02-19 00:51:42 - INFO - DURUM DEÐÝÞTÝ: BUSY -> IDLE | CPU: %0.0 | Pil: %79
2026-02-19 00:51:42 - INFO - DURUM DEÐÝÞTÝ: IDLE -> BUSY | CPU: %12.0 | Pil: %79
2026-02-19 00:51:42 - INFO - DURUM DEÐÝÞTÝ: BUSY -> IDLE | CPU: %0.0 | Pil: %79
2026-02-19 00:51:42 - INFO - DURUM DEÐÝÞTÝ: IDLE -> BUSY | CPU: %7.1 | Pil: %79
2026-02-19 00:51:42 - INFO - DURUM DEÐÝÞTÝ: BUSY -> IDLE | CPU: %0.0 | Pil: %79
2026-02-19 00:51:42 - INFO - DURUM DEÐÝÞTÝ: IDLE -> BUSY | CPU: %10.5 | Pil: %79
2026-02-19 00:51:42 - INFO - DURUM DEÐÝÞTÝ: BUSY -> IDLE | CPU: %0.0 | Pil: %79
2026-02-19 00:51:42 - INFO - DURUM DEÐÝÞTÝ: IDLE -> BUSY | CPU: %27.3 | Pil: %79
2026-02-19 00:51:42 - INFO - DURUM DEÐÝÞTÝ: BUSY -> IDLE | CPU: %0.0 | Pil: %79
2026-02-19 00:51:42 - INFO - DURUM DEÐÝÞTÝ: IDLE -> BUSY | CPU: %10.0 | Pil: %79
2026-02-19 00:51:42 - INFO - DURUM DEÐÝÞTÝ: BUSY -> IDLE | CPU: %0.0 | Pil: %79
2026-02-19 00:51:42 - INFO - DURUM DEÐÝÞTÝ: IDLE -> BUSY | CPU: %10.0 | Pil: %79
2026-02-19 00:51:42 - INFO - DURUM DEÐÝÞTÝ: BUSY -> IDLE | CPU: %0.0 | Pil: %79
2026-02-19 00:51:42 - INFO - DURUM DEÐÝÞTÝ: IDLE -> BUSY | CPU: %6.2 | Pil: %79
2026-02-19 00:51:43 - INFO - DURUM DEÐÝÞTÝ: BUSY -> IDLE | CPU: %0.0 | Pil: %79
2026-02-19 00:51:43 - INFO - DURUM DEÐÝÞTÝ: IDLE -> BUSY | CPU: %4.8 | Pil: %79
2026-02-19 00:51:43 - INFO - DURUM DEÐÝÞTÝ: BUSY -> IDLE | CPU: %0.0 | Pil: %79
2026-02-19 00:51:43 - INFO - DURUM DEÐÝÞTÝ: IDLE -> BUSY | CPU: %13.3 | Pil: %79
